question_no,question,correct_answer,category,labels
3509,"Would you expect the transfer RNA molecules and the messenger RNA molecules to be the same in the cells of a horse as in similar human cells? Give reasons for your answer in each case.
A. tRNA from cells of horse and man are basically the same, whereas the mRNA from the cells of these two animals would show much more difference.
B. tRNA molecules show slight variations between horse and human cells, while mRNA molecules are identical.
C. tRNA and mRNA in horse and human cells are completely identical.
D. Both tRNA and mRNA molecules in horse and human cells vary significantly in their nucleotide sequences.
E. tRNA molecules in horse cells contain different amino acids compared to human cells, while mRNA molecules are highly conserved.
F. tRNA molecules in both horse and human cells are similar in function but differ in their nucleotide sequences, whereas mRNA molecules have identical sequences but differ in function.
G. tRNA in horse and human cells are different, but mRNA are the same.
H. tRNA molecules are completely different between horse and human cells, but mRNA molecules are similar.
I. tRNA and mRNA in horse and human cells are completely different.
J. The anticodon regions of tRNA are different in horses compared to humans, but the rest of the tRNA structure is the same, and mRNA molecules are completely identical.",A,biology,A|B|C|D|E|F|G|H|I|J
3438,"The reaction A + B → C is catalyzed by enzyme K. If the reaction is in equilibrium, which of the following would allow more product C to be produced?
A. removing some of reactant C
B. adding a different enzyme
C. decreasing the temperature of the system
D. adding more enzyme K
E. removing some of reactant A
F. increasing the temperature of the system
G. increasing the pressure of the system
H. removing some of enzyme K",A,biology,A|B|C|D|E|F|G|H
2927,"Which of the following is the correct characteristic of arteries?
A. They carry blood towards the heart.
B. They always carry deoxygenated blood.
C. They carry blood away from the heart.
D. They contain valves that prevent backflow.
E. They always carry oxygenated blood.
F. They have a large lumen compared to veins.
G. They are responsible for the exchange of gases and nutrients.
H. They form a network of small vessels called capillaries.
I. They are thin-walled blood vessels.
J. They contain no muscle tissue.",C,biology,A|B|C|D|E|F|G|H|I|J
3059,"All of the following statements about plant embryogenesis are correct EXCEPT:
A. The suspensor is derived from the basal cell.
B. Cotyledons are derived from the apical cell.
C. Shoot apical meristem formation occurs after seed formation.
D. Precursors of all three plant tissue systems are formed during embryogenesis.",C,biology,A|B|C|D
3487,"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colors in chickens?
A. The trait for gray is epistatic over the trait for black.
B. The traits for gray and white color demonstrate incomplete dominance.
C. The trait for black is epistatic over the trait for white.
D. The traits for black and white color demonstrate codominance.
E. The trait for white is epistatic over the trait for gray.
F. The traits for black and white color demonstrate incomplete dominance.
G. The traits for black, gray and white colors demonstrate complete dominance.
H. The traits for gray and black color demonstrate codominance.
I. The trait for gray is epistatic over the trait for white.
J. The trait for black is epistatic over the trait for gray.",F,biology,A|B|C|D|E|F|G|H|I|J
2808,"Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?
A. Aristotle, Darwin, and Lamarck
B. Aristotle, Lyell, and Darwin
C. Aristotle, Linnaeus, and Cuvier
D. Aristotle, Cuvier, and Lamarck
E. Linnaeus, Darwin, and Lamarck
F. Linnaeus, Cuvier, and Lamarck
G. Darwin, Cuvier, and Lamarck
H. Lyell, Cuvier, and Darwin
I. Lyell, Linnaeus, and Lamarck
J. Lyell, Lamarck, and Darwin",C,biology,A|B|C|D|E|F|G|H|I|J
3113,"Nymphaea odorata, a water lily, is an aquatic plant whose leaves and flowers float on the surface of the water. Which of the following characteristics would be expected for leaves of this plant?
A. Stomata on the bottom surface with no water-conducting (xylem) cells
B. stomata on the bottom surface and relatively few water-conducting (xylem) cells
C. Stomata on the top surface with no water-conducting (xylem) cells
D. Stomata evenly distributed on both surfaces and relatively many water-conducting (xylem) cells
E. stomata on the top surface and relatively few water-conducting (xylem) cells
F. No stomata and relatively many water-conducting (xylem) cells
G. stomata on the top surface and relatively many water-conducting (xylem) cells
H. No stomata and relatively few water-conducting (xylem) cells
I. Stomata evenly distributed on both surfaces and relatively few water-conducting (xylem) cells
J. stomata on the bottom surface and relatively many water-conducting (xylem) cells",E,biology,A|B|C|D|E|F|G|H|I|J
2827,"How are chromosomal breaks produced? What factors modify these breaks?
A. Chromosomal breaks are produced by chemical reactions
B. Chromosomal breaks are produced by mechanical stress and are modified by cellular metabolism and DNA repair efficiency.
C. Chromosomal breaks are produced by low energy radiation
D. Chromosomal breaks are produced by high energy radiation and modified by factors such as radiation frequency, ion density, length of exposure, and chromosome state.
E. Chromosomal breaks are produced by thermal fluctuations and are modified by the cell type and surrounding tissue matrix.
F. Chromosomal breaks are produced by osmotic pressure changes and are modified by the organism's overall health and immune response.
G. Chromosomal breaks are produced by natural cellular processes and are modified by age and environmental factors.
H. Chromosomal breaks are produced by ultraviolet light exposure and modified by the presence of certain genetic mutations and cellular antioxidants.
I. Chromosomal breaks are modified by temperature and pressure
J. Chromosomal breaks are produced by magnetic fields and modified by the phase of the cell cycle and nutrient availability.",D,biology,A|B|C|D|E|F|G|H|I|J
3496,"Discuss why one would place Cro-Magnon man higher on the evolution ladder than Neanderthal man.
A. Cro-Magnon man created more sophisticated art and symbolic expressions
B. Neanderthal man had a smaller cranial capacity
C. Cro-Magnon man had larger physical size
D. Cro-Magnon man had a more modern appearance, refined culture, and an increased intelligence
E. Cro-Magnon man lived in larger, more complex social structures
F. Neanderthal man had a more limited vocal range and language capability
G. Cro-Magnon man was less adaptable to the environment
H. Cro-Magnon man engaged in agriculture while Neanderthal man did not
I. Neanderthal man had more advanced tool technology
J. Cro-Magnon man had a longer lifespan, indicating superior health and diet",D,biology,A|B|C|D|E|F|G|H|I|J
3309,"A male bacterium conjugates with a female bacterium. After conjugation , the female becomes a male. Account for this ""sex-change"".
A. The female bacterium becomes a male by incorporating male genetic material into its own genome.
B. The female bacterium becomes a male by dividing and producing a male offspring.
C. The female bacterium becomes a male by undergoing a mutation in its own DNA.
D. The female bacterium becomes a male by receiving one copy of the F factor.
E. The female bacterium becomes a male by exposure to a particular environmental condition.
F. The female bacterium becomes a male by exchanging plasmids with the male bacterium.
G. The female bacterium becomes a male by receiving a sex chromosome.
H. The female bacterium becomes a male by receiving a male chromosome.
I. The female bacterium becomes a male by conjugating with a male bacterium.
J. The female bacterium becomes a male by receiving multiple copies of the F factor.",D,biology,A|B|C|D|E|F|G|H|I|J
7060,"Suppose that there are only two goods: x and y. Which of the following is NOT correct?
A. One can have comparative advantage in producing both goods.
B. One can have both an absolute advantage and a comparative advantage in producing x.
C. One can have absolute advantage and no comparative advantage in producing x.
D. One can have comparative advantage and no absolute advantage in producing x.",A,economics,A|B|C|D
7452,"What are the chief characteristics of the British brandof socialism?
A. Compulsory military service, government-controlled media, and a one-party political system
B. Strict adherence to Marxist principles, state ownership of all personal property, and the abolition of private enterprise
C. Evolutionary rather than revolutionary, government ownership and direction of key industries, extensive government planning of land use and housing, a nationalized health service, heavy redistributive income and estate taxes, and a great proliferation of social welfare agencies.
D. Focus on individual entrepreneurship, minimal welfare provision, and a strong emphasis on traditional values
E. Privatization of health services
F. Free market and low taxes
G. Decentralized planning, emphasis on mutual aid societies, and minimal government intervention
H. Revolutionary and violent
I. A mixed economy with partial privatization of health services, moderate taxation, and targeted social welfare programs
J. Emphasis on green policies, extensive use of referenda for policy decisions, and a citizens' basic income",C,economics,A|B|C|D|E|F|G|H|I|J
7123,"For an autoregressive process to be considered stationary
A. The roots of the characteristic equation must all be greater than one in absolute value
B. The roots of the characteristic equation must all be equal to one
C. The roots of the characteristic equation must all be imaginary numbers
D. The roots of the characteristic equation must all be negative
E. The roots of the characteristic equation must all be less than one in absolute value
F. The roots of the characteristic equation must all lie outside the unit circle
G. The roots of the characteristic equation must all lie inside the unit circle
H. The roots of the characteristic equation must all be positive
I. The roots of the characteristic equation must all lie on the unit circle
J. The roots of the characteristic equation must all be real numbers",F,economics,A|B|C|D|E|F|G|H|I|J
7511,"Consider the following AR(2) process:

yt = 1.5 yt-1 - 0.5 yt-2 + ut

This is a
A. Non-stationary and unit root process
B. Unit root process
C. Explosive process
D. Unit root and explosive process
E. Stationary and unit root process
F. Non-stationary and explosive process
G. Both stationary and explosive process
H. Non-stationary process
I. Neither stationary, unit root, nor explosive process
J. Stationary process",B,economics,A|B|C|D|E|F|G|H|I|J
7005,"Differentiate tariffs from quotas as barriers to free trade.
A. Tariffs and quotas both set a maximum limit on imports
B. Tariffs are regulatory fees on exports, while quotas are subsidies for imported goods
C. Tariffs limit the quantity of goods, and quotas impose taxes on imports
D. Quotas are taxes on goods, and tariffs limit the quantity of imports
E. Tariffs are preferential trade agreements between countries, while quotas are unilateral restrictions imposed by one country on another's exports
F. Quotas require domestic producers to limit production, while tariffs are used to standardize the price of imports and exports
G. Quotas are fixed fees on the volume of imports, and tariffs are percentage-based restrictions on the quantity of imports
H. Tariffs are used to ban specific goods from being imported, while quotas require a special license to import more than a certain amount
I. Tariffs are taxes on imported goods to raise revenue and protect domestic industries, while quotas set a maximum on the quantity of a good that may be imported during a given time period.
J. Quotas increase the price of domestic goods, while tariffs restrict the amount of goods leaving the country",I,economics,A|B|C|D|E|F|G|H|I|J
7134,"According to Marshall and Fisher, what are thecomponents of the demand for money?
A. Investment and Consumption
B. Transactions Demand and Asset Demand
C. Income and Expenditure
D. Savings and Interest Rates
E. Credit and Debit
F. Wealth and Expectations
G. Supply and Demand
H. Exports and Imports
I. Price Level and Inflation Rate
J. Liquidity and Time Preference",B,economics,A|B|C|D|E|F|G|H|I|J
7474,"If GNP = $600 billion and the money supply is $200 billion, whatis the velocity of money?
A. 3 times per year
B. 7 times per year
C. 6 times per year
D. 2.5 times per year
E. 5 times per year
F. 2 times per year
G. 4 times per year
H. 10 times per year
I. 1 time per year
J. 8 times per year",A,economics,A|B|C|D|E|F|G|H|I|J
7102,"Which of the following increases the size of the tax multiplier?
A. An increase in the reserve ratio.
B. An increase in the money supply.
C. A decrease in the marginal propensity to consume.
D. A decrease in the spending multiplier.
E. An increase in the interest rate.
F. An increase in the marginal propensity to consume.
G. An increase in the marginal propensity to save.",F,economics,A|B|C|D|E|F|G
6905,"When a perfectly competitive labor market is in equilibrium,
A. individual firms face upward sloping labor demand curves
B. individual firms face horizontal labor demand curves
C. there is a shortage of jobs and a surplus of workers
D. wages are dictated by the government
E. individual firms face downward sloping labor supply curves
F. unemployment rate is at 0 percent
G. there is a surplus of jobs and a shortage of workers
H. individual firms face downward sloping labor demand curves
I. everyone who wants to work has the opportunity to do so
J. unemployment can reach as high as 10-15 percent",I,economics,A|B|C|D|E|F|G|H|I|J
6976,"If the demand for grapes increases simultaneously with an increase in the supply of grapes, we can say that
A. equilibrium quantity rises, and the price rises.
B. equilibrium quantity rises, but the price change is ambiguous.
C. equilibrium quantity stays the same, but the price rises.
D. equilibrium quantity falls, but the price rises.
E. equilibrium quantity is ambiguous, but the price rises.
F. both equilibrium quantity and price stay the same.
G. equilibrium quantity falls, and the price falls.
H. equilibrium quantity rises, but the price falls.
I. equilibrium quantity stays the same, and the price falls.
J. equilibrium quantity falls, but the price change is ambiguous.",B,economics,A|B|C|D|E|F|G|H|I|J
7328,"What are the effects an increase in the money supply on output on prices in the short run and in the long run?
A. Short run: increase in output, Long run: increase in general price level
B. Short run: decrease in output, Long run: no change in general price level
C. Short run: decrease in output, Long run: increase in general price level
D. Short run: increase in general price level, Long run: decrease in output
E. Short run: no change in output, Long run: increase in general price level
F. Short run: increase in output, Long run: no change in general price level
G. Short run: increase in output, Long run: decrease in general price level
H. Short run: no change in general price level, Long run: no change in output
I. Short run: no change in output, Long run: decrease in general price level
J. Short run: decrease in output, Long run: decrease in general price level",A,economics,A|B|C|D|E|F|G|H|I|J
6962,"Suppose the exchange rates are 0.5 British Pound per dollar; 10 Mexican Pesos per dollar; and 100 Chinese Yuan per dollar. Further suppose that a Big Mac costs 3 dollars in America; 2 pounds in England; 50 pesos in Mexico; and 200 yuan in China. In which country is a Big Mac most expensive?
A. America ($3).
B. England ($4).
C. Mexico ($5).
D. China ($2).",C,economics,A|B|C|D
7089,"What is the rule of 72?
A. Rule of 72 is a formula for calculating compound interest
B. Rule of 72 is a banking rule for determining interest
C. Rule of 72 is a scientific law related to the conservation of energy
D. Rule of 72 is a tax code regulation for retirement accounts
E. Rule of 72 is a mathematical principle that determines the age of the universe
F. Rule of 72 is an economic theory that predicts market crashes
G. Rule of 72 is a guideline for calculating the rate of inflation
H. Rule of 72 is used to approximate the doubling time of the population, or of interest
I. Rule of 72 is a population growth prediction model
J. Rule of 72 is a health guideline for daily caloric intake based on age",H,economics,A|B|C|D|E|F|G|H|I|J
7595,"Why is it that even though the price the farmer gets for the foodhe sells will fall, the retail price need not fall so much ormay even rise?
A. Inflationary pressures on the overall economy
B. Retailers are increasing their profit margins
C. Farmers are being underpaid
D. Consumer preferences for fabricated food and less technological progress in processing and marketing
E. Retailers are absorbing the cost of promotions and discounts
F. The cost of raw materials is increasing
G. A change in exchange rates impacting import prices
H. Government subsidies affecting retail pricing structures",D,economics,A|B|C|D|E|F|G|H
7546,"Define the Quantity Theory of Money.
A. Price level variations are directly dependent upon changes in the quantity of money
B. The velocity of money is the only factor that affects the price level
C. The quantity of money in circulation has no impact on the economy or price levels
D. Changes in the quantity of money lead to proportional changes in the output level, not the price level
E. The quantity of money is inversely related to the velocity of money and has no direct relationship with the price level
F. The price level is determined by the production of goods and services, while the quantity of money remains constant
G. Price level variations are indirectly dependent upon changes in the quantity of money
H. The quantity of money is determined by the demand for goods and services, not by the price level
I. Price level is independent of the quantity of money
J. Quantity of money variations are directly dependent upon changes in the price level",A,economics,A|B|C|D|E|F|G|H|I|J
7453,"Letting C be consumption, S be savings, and Y be dispo-sableincome, suppose the consumption schedule is as follows: C = 200 + (2/3)Y . a) What would be the formula for the savings schedule? b) When would savings be zero?
A. S = -300 + (1/2)Y, Y = 400
B. S = -100 + (1/3)Y, Y = 600
C. S = -200 + (3/4)Y, Y = 266.67
D. S = Y - 200 - (2/3)Y, Y = 600
E. S = 0, Y = 300
F. S = -200 + Y, Y = 200
G. S = - 200 + (1/4)Y, Y = 700
H. S = - 200 + (1/2)Y, Y = 500
I. S = - 200 + (1/3)Y, Y = 600
J. S = 200 + (2/3)Y, Y = 800",I,economics,A|B|C|D|E|F|G|H|I|J
7626,"Suppose DVD players are a normal good and are exchanged in a competitive market. All else equal an increase in household income will
A. Have no impact on the equilibrium quantity or price.
B. Have no impact on the equilibrium quantity but increase the price.
C. Have no impact on the equilibrium price but increase the quantity.
D. decrease the equilibrium quantity and increase the price.
E. increase the equilibrium price but the change in quantity is ambiguous.
F. Decrease the equilibrium price but the change in quantity is ambiguous.
G. increase the equilibrium quantity and increase the price.
H. decrease the equilibrium quantity and decrease the price.
I. Increase the equilibrium quantity but decrease the price.
J. Increase the equilibrium price but decrease the quantity.",G,economics,A|B|C|D|E|F|G|H|I|J
7252,"Describe each of the following situations in terms of de-mand elasticity. a) You have a cold and the only medicine that can help you used to cost $1.50 per bottle but now costs $20.00 a bottle. You buy it anyway. b) At $80 per ticket you would buy 2 tickets, but scalpers want $100 a seat for the Stanley cup finals, so you stay at home and watch the games on television. c) Chocolate bars double in price overnight from 10$ to 20C, yet you buy the same number as before.
A. a) Elastic demand, b) Inelastic demand, c) Elastic demand
B. a) Elastic demand, b) Elastic demand, c) Inelastic demand
C. a) Inelastic demand, b) Elastic demand, c) Inelastic demand
D. a) Inelastic demand, b) Inelastic demand, c) Elastic demand",C,economics,A|B|C|D
7175,"Consider a profit-maximizing firm in a perfectly competitive market with several sellers and several buyers (i.e., the firm is a ""price taker"" of the goods it sells and a ""price taker"" of the hourly wages it pays its workers). If a technological innovation made by someone in this firm were to significantly raise the firm's marginal physical product (but not that of any other firm's), then this innovation would
A. lead the firm to reduce workers' wages as they now contribute less marginal revenue
B. lead the firm to hire more workers but not to raise their wages
C. reduce the firm's employment level but raise workers' wages
D. lead the firm to hire more workers and to pay them higher wages
E. raise the workers’ hourly wage as they now contribute more marginal revenue
F. reduce the firm's employment level and lower workers' wages
G. cause the firm to hire fewer workers but pay them higher wages
H. lead the firm to hire the same number of workers but pay them higher wages
I. reduce the firm’s employment level, because fewer workers are now needed
J. have no effect on the firm's employment level or workers' wages",B,economics,A|B|C|D|E|F|G|H|I|J
7456,"Suppose that John's MPC is constant at 3/4. If his break-even pointoccurs at $7,000, how much will John have to borrow whenhis income is $3,000?
A. $4000
B. $2500
C. $6250
D. $1750
E. $500
F. $1,000
G. $7000
H. $5500
I. $3000
J. $0",F,economics,A|B|C|D|E|F|G|H|I|J
12236,"A signal source operating at 50MHz has an output impedance of 20 ohms. It is to supply power through a coaxial line to a load impedance of 150 + j40 ohms. Is it possible to design a quarter-wave transformer to match the source to the load?
A. A quarter-wave transformer with a characteristic impedance of 100 ohms can match the source to the load
B. The matching transformer would need a characteristic impedance = √[(20)(150)] = 54.77 ohms
C. The matching transformer would have a characteristic impedance = \surd[(50)(150)] = 86.60 ohms
D. A quarter-wave transformer cannot provide perfect impedance matching
E. A quarter-wave transformer is unnecessary since the source and load impedances are already matched
F. The load impedance can be made real only if a series inductor of - j40 ohms is added
G. A quarter-wave transformer can provide perfect impedance matching",D,engineering,A|B|C|D|E|F|G
11528,"A plane 1,000 Mc/sec traveling wave in air with peak electric field intensity of 1 volt/meter is incident normally on a large copper sheet. Find the average power absorbed by the sheet per square meter of area.
A. 1.16 × 10^-7 watt/meter^2
B. 2.32 × 10^-7 watt/meter^2
C. 9.65 × 10^-7 watt/meter^2
D. 5.80 × 10^-8 watt/meter^2
E. 1.16 × 10^-5 watt/meter^2
F. 1.16 × 10^-8 watt/meter^2
G. 4.64 × 10^-5 watt/meter^2
H. 5.00 × 10^-6 watt/meter^2
I. 1.16 × 10^-6 watt/meter^2
J. 2.34 × 10^-5 watt/meter^2",A,engineering,A|B|C|D|E|F|G|H|I|J
11974,"A certainsteel containing 0.7 weight-percent carbon is in equilibriumwith a methane-hydrogen gas mixture containing 99 percent hydrogen and 1 percent methane by volume at 1,173°K and 1 atm.Findthe activity of carbon in the steel andthe equilibrium volume percentages of a carbon monoxide-carbondioxide mixture at equilibrium with the steelat the same conditions. Use the following data to solve theproblem and assume all gases are ideal. Data For the reaction C(s, graphite)+2H_2(_g) \rightleftharpoons CH_4(g) \DeltaG^0 = - 21,600 + 26.2T cal For the reaction CO_2(_g) + C(s, graphite)\rightleftharpoons 2CO_(g_) \DeltaG^0 = 40,800 - 41.7T cal
A. The activity of the carbon in the steel is 0.47. The gas contains 90.6% CO and 9.4% CO2 (by volume).
B. The activity of the carbon in the steel is 0.65. The gas contains 88.6% CO and 11.4% CO2 (by volume).
C. The activity of the carbon in the steel is 0.48. The gas contains 93.6% CO and 6.4% CO2 (by volume).
D. The activity of the carbon in the steel is 0.60. The gas contains 96.6% CO and 3.4% CO2 (by volume).
E. The activity of the carbon in the steel is 0.51. The gas contains 94.6% CO and 5.4% CO2 (by volume).
F. The activity of the carbon in the steel is 0.75. The gas contains 85.6% CO and 14.4% CO2 (by volume).
G. The activity of the carbon in the steel is 0.55. The gas contains 92.6% CO and 7.4% CO2 (by volume).
H. The activity of the carbon in the steel is 0.58. The gas contains 89.6% CO and 10.4% CO2 (by volume).
I. The activity of the carbon in the steel is 0.68. The gas contains 91.6% CO and 8.4% CO2 (by volume).
J. The activity of the carbon in the steel is 0.42. The gas contains 97.6% CO and 2.4% CO2 (by volume).",E,engineering,A|B|C|D|E|F|G|H|I|J
11765,"A 50-hp, 500-volt shunt motor draws a line current of 4.5 amperes at no load. The shunt field resistance is 250 ohms and the armature resistance, exclusive of brushes, is 0.3 ohm. The brush drop is 2 volts. The full-load line current is 84 amperes. What is the horsepower output and efficiency ?
A. 83.70%, 47.85 hp
B. 86.50%, 49.00 hp
C. 90.55%, 51.25 hp
D. 92.10%, 52.00 hp
E. 85.23%, 48.50 hp
F. 90.00%, 50.75 hp
G. 84.15%, 46.90 hp
H. 89.45%, 50.36 hp
I. 87.65%, 49.75 hp
J. 88.30%, 51.10 hp",H,engineering,A|B|C|D|E|F|G|H|I|J
11419,"A 19 ft. long tube with a (3/4) in. diameter is designed to heat air from 65°F to 210°F. The air flows at 3.0lbm/hr. Determine the constant heat fluxq_wwhich must be supplied to the air, and also the wall temperature at the end of the tube.
A. 25.0 Btu/hr-ft^2 and 225°F
B. 31.0 Btu/hr-ft^2 and 242°F
C. 32.2 Btu/hr-ft^2 and 245°F
D. 28.1 Btu/hr-ft^2 and 234°F
E. 26.3 Btu/hr-ft^2 and 230°F
F. 30.4 Btu/hr-ft^2 and 238°F
G. 24.4 Btu/hr-ft^2 and 228°F
H. 33.8 Btu/hr-ft^2 and 250°F
I. 27.7 Btu/hr-ft^2 and 232°F
J. 29.5 Btu/hr-ft^2 and 240°F",D,engineering,A|B|C|D|E|F|G|H|I|J
11420,"A coin is tossed 3 times. Find the probability that all 3 are heads, (a) if it is known that the first is heads, (b) if it is known that the first 2 are heads, (c) if it is known that 2 of them are heads.
A. (a) 1/8, (b) 1, (c) 1/4
B. (a) 1/8, (b) 1/2, (c) 3/8
C. (a) 1/6, (b) 1/3, (c) 1/6
D. (a) 1/4, (b) 1/2, (c) 1/4
E. (a) 1/2, (b) 1, (c) 1/3
F. (a) 1/2, (b) 1/4, (c) 1/8
G. (a) 1/4, (b) 1, (c) 0
H. (a) 1/2, (b) 1/2, (c) 1/2
I. (a) 1/8, (b) 1/4, (c) 1/2
J. (a) 1/3, (b) 1/6, (c) 1/3",D,engineering,A|B|C|D|E|F|G|H|I|J
11472,"A heat exchanger that is used for cooling oil is constructed with a bank of 200 tubes of outside diameter d_0 = 0.5 in, inside diameterd_i= 0.428 in, and length L = 4 ft. The tubes are enclosed inside a shell of inside diameter D_i = 10 in. Water at 65°F is flowing at a rate of 10,000 gal/hr inside the tubes, and oil at 190°F is flowing at 1,500 gal/hr in the shell side. Determine the exit temperature of the oil.
A. 190°F
B. 150°F
C. 160°F
D. 145°F
E. 167°F
F. 170°F
G. 165°F
H. 180°F
I. 175°F
J. 155°F",E,engineering,A|B|C|D|E|F|G|H|I|J
